"level_name_2","level_name_3","brand_name","company_name","company_intro","renqi","address","page_num"
"运动品牌","运动服饰","XTEP特步","特步（中国）有限公司","2002年9月,“特步”品牌以其良好的市场状况、尽善尽美的服务、优良的品质、完善的管理机制、坚实的软硬件设施基础再获殊荣，被中国品牌战略推进委员会授予“中国名牌产品”称号。 200...","3.9万","福建",4
"女装品牌","时尚女装","GOOBGS谷邦","杭州卓亨服饰有限公司","GOOBGS谷邦女装品牌：    谷邦（goobgs）源自法国，追求独立与优雅的气质。一直秉承优雅、时尚及完美品质的现代都市风格，以内敛平和的设计表达执着的个性，被赋予了东方独有的优雅文...","4.5万","浙江杭州",4
"内衣品牌","女性内衣","都市丽人","东莞市都市丽人内衣有限公司","都市丽人内衣东莞市都市丽人内衣有限公司是一家集都市丽人内衣生产、都市丽人内衣销售、都市丽人内衣品牌加盟为一体的品牌内衣加盟机构。旗下设有都市丽人内衣店和都市丽人加盟店。东...","9.5万","广东东莞",4
"女装品牌","淑女装","XG雪歌","浙江雪歌服饰有限公司","XG雪歌女装品牌：中淑女装品牌代表品牌     浙江雪歌服饰有限公司创始于1997年10月，是一家集设计、生产、销售XUEGE雪歌优雅女装、鞋、包于一体的品牌企业，XUEGE雪歌迄今为止在全国...","9.7万","浙江温州",4
"女装品牌","时尚女装","Weekend Max Mara","意大利时尚集团MaxMara","来自意大利时尚集团MaxMara Fashion Group的知名服装品牌MaxMara，始终未女性创造多种独特风情，以顶及定制服精致的剪裁，巧妙结合各种材质的完美设计。Weekend by MaxMara于2008年4...","1.1万","台湾台北",4
"服装品牌","休闲品牌","TONLION唐狮","宁波唐狮休闲服饰有限公司","宁波唐狮休闲服饰有限公司是宁波博洋集团的直属企业，宁波唐狮休闲服饰有限公司成立于1994年。公司多年来一直从事休闲服饰的经营，并拥有自己的成熟品牌--“TONLION唐狮”。“F4”是...","8.2万","浙江宁波",4
"女装品牌","淑女装","淑女屋FAIRYFAIR","深圳市淑女屋时装股份有限公司","淑女屋设计理念美好女人的一生解读 美好女人的一生爱从零岁开始从此小淑女诞生了第一件粉红裙纱 第一件纯白长裙是她对美的初始印象 这样纯洁 优雅 童话芭蕾 钢琴 书籍 油画·...","18.6万","广东深圳",4
"女装品牌","成熟女装","DI SETA玳莎","浙江嘉欣丝绸股份有限公司服饰分公司","品牌诠释：DI SETA玳莎女装源自意大利，游走于世界顶尖时尚界 DI SETA玳莎，为意大利语“丝绸”之意。 丝绸，在公元前4世纪就盛行于欧洲，更是被古罗马皇室竞相追捧，称它为“一个美...","1.3万","浙江嘉兴",4
"女装品牌","时尚女装","AIMENOU爱梦欧","深圳市流行屋服装有限公司","AIMENOU爱梦欧是一家集研发，生产和销售为一体的服装创新型企业。爱梦欧代表着甜美优雅，繁复与重工完美结合，渲染出绚丽的色彩层，将欧式经典文化用富有设计感的极致美学演奏，雅致...","36","广东东莞",4
"服装品牌","羽绒服品牌","LAMERRY朗美睿","浙江郎美睿服饰有限公司","LAMERRY朗美睿服饰女装品牌：LAMERRY朗美睿女装品牌致力于时尚服装的文化传播，LAMERRY朗美睿女装倡导新的时尚生活方式，为都市女性打造摩登时髦、魅力万千的时尚形象。同时“、LAMER...","3693","浙江杭州",4
"女装品牌","时尚女装","MAX&CO.","国内经销：达天贸易（上海）有限公司","MAX&CO是MAXMARA旗下的一个品牌，自上个世纪80年代就已经推出。第一家MAX&CO的店铺开设在意大利，之后的十六年中，其辉煌的成绩让它的销售店面遍布世界各地，多达三百多家，...","3.2万","上海卢湾区",4
"快时尚","快时尚女装品牌","NEW LOOK","纽洛克商业（上海）有限公司","NEW LOOK品牌介绍：如今，我们在全球已有1100家门店NEW LOOK &ndash; 来自英国的快时尚零售品牌！我们的使命是“让女孩子们时尚靓丽，充满活力，尽享活力”。1969年，NEW LOOK 在...","1.8万","上海长宁区",4
"女装品牌","淑女装","Inlife伊纳芙","杭州伊裳服饰有限公司","Inlife伊纳芙女装品牌：杭州伊裳服饰有限公司总经理为服装设计专业毕业。Inlife伊纳芙女装注重原创，Inlife-伊纳芙女装强调个性，提倡品质，传播品位，体现文化：以其简约自然，清新...","1.9万","浙江杭州",4
"女装品牌","时尚女装","LIULIU MO","广州大慧贸易有限公司","LIULIU	MO	--无国界独立设计师女装品牌，其品牌风格特立独行、款式丰富，由多国年轻新锐设计师为核心组建而成的团队；致力于寻找最突出、最符合亚洲人群穿衣身型的设计，店铺装修以非...","357","广东",4
"女装品牌","轻奢女装","D.MARTINA QUEEN","上海汀妆服装科技有限公司","D.MARTINA QUEEN承载中国传统服饰的张力，延伸东方古典蕴涵和工艺美学。古老和现代，东方和西方，在文化交流碰撞中的D.MARTINA QUEEN突破传统，远瞩未来东方主义，以其精益求精的工艺...","204","上海",4
"女装品牌","淑女装","EIFINI伊芙丽","杭州锦欧时装有限公司","EIFINI（伊芙丽）女装品牌诞生于2001年，EIFINI伊芙丽女装品牌名称源于英语Elegant I （优雅的我）、Faith I （自信的我）、Natural I （自然的我）这三个词的英文简写。目标客群为30...","11.2万","浙江杭州",5
"女装品牌","时尚女装","法国ELLE","上海巴哈服饰有限公司","ELLESPORT是ELLE品牌旗下的时尚休闲服饰品牌，专门为25岁到35岁的现代女性所设计。它以年轻和流行为元素，结合由条纹图案、LOGO的印花，商标的巧妙运用和新颖独特的制作工艺，在款式...","1.1万","上海黄浦区",5
"内衣品牌","女性内衣","embryform安莉芳","安莉芳（中国）服装有限公司","embryform安莉芳内衣品牌：安莉芳集团于1975年由郑敏泰先生创办，郑先生以高瞻远瞩的眼光，洞悉了内衣市场的巨大潜力，经过二十多年的经营，安莉芳已经由一家传统的小型内衣制造商，...","13.9万","广东深圳",5
"快时尚","快时尚女装品牌","FEXATA斐格思","广东维耶斯服饰有限公司","FEXATA快时尚女装品牌： 广东维耶斯服饰有限公司是国内知名的服饰连锁运营管理公司，其业务范围包括中高端品牌运营、产品设计研发、终端渠道规划、品牌营销推广等领域。公司立足市场...","3.4万","广东广州",5
"女装品牌","淑女装","BEINI琲妮","杭州尚葵服饰有限公司","BEINI女装品牌：    杭州尚葵服饰有限公司是一家以设计、生产为一体的品牌女装企业，BEINI女装品牌自2003年成立以来，现已在北京、哈尔滨、沈阳、成都、郑州、乌鲁木齐、兰州、西安、...","5.3万","浙江杭州",5
"女装品牌","成熟女装","YINER音儿","影儿时尚集团有限公司","影儿时尚集团在中国时装市场中始终以骄人的业绩占据品牌服饰行业的主导地位，十几年来在变革与创新中快速发展，在困难与机遇中不断迸发出强大的力量，现在已发展成为一家集投资研发、...","11.5万","广东",5
"女装品牌","时尚女装","AITU艾托奥","广州艾托奥服饰有限公司","AITU艾托奥公司简介：　　艾托奥（AITU）品牌自2009年成立至今，公司是一家集时装设计、生产、营销、策划为一体的专业化品牌服装企业，已在全国开设了自营店和加盟店100多家店铺/柜，...","3.9万","广东广州",5
"潮牌","潮牌羽绒服品牌","非因果","郑州市管城区银基广场苏家花梓伊服装店","非因果潮牌羽绒服：张扬的设计师团队,独居特色的设计理念,不拘一格的生活态度,创造“非你即我”“皆为因果”的潮牌羽绒服.自主设计师原创潮流单品。...","24","河南郑州",5
