company_name,province,location,size,nature,business,page_num
杭州嘟比奇服饰有限公司,浙江,浙江杭州,1 - 49人,私营．民营企业,童装,26
昆山市巴城镇838羊绒服装厂,江苏,江苏苏州,50 - 99人,私营．民营企业,女装,26
北京唐人伟业商贸有限公司,北京,北京,1 - 49人,外商独资．外企办事处,"男装,女装,童装,羽绒服",26
北京说不出再见服装有限公司,北京,北京大兴,50 - 99人,,女装,26
北京补丁创意服饰有限公司,北京,北京,100 - 499人,私营．民营企业,女装,26
广州焕燃服饰有限公司,广东,广东广州,50 - 99人,私营．民营企业,女装,26
北京彩乐生活服饰有限公司,北京,北京,1 - 49人,私营．民营企业,内衣,26
杭州惠泽服装有限公司,浙江,浙江杭州,,私营．民营企业,女装,26
昆山创明服装有限公司,江苏,江苏苏州,100 - 499人,私营．民营企业,"男装,女装",26
平湖市泰戈尔实业有限公司,浙江,浙江嘉兴,1000人以上,私营．民营企业,"男装,女装,童装,羽绒服,其他",26
深圳市致曲服饰有限公司,广东,广东深圳,100 - 499人,私营．民营企业,"内衣,泳装",27
佛山市顺德区大良千色城时装店,广东,广东佛山,100 - 499人,私营．民营企业,"女装,皮革,饰品,婚纱礼服,箱包",27
杭州瀚哲纺织品有限公司,浙江,浙江杭州,1 - 49人,私营．民营企业,其他,27
逃家小兔,浙江,浙江湖州,50 - 99人,私营．民营企业,童装,27
浙江国富服饰有限公司,浙江,浙江嘉兴,100 - 499人,外商独资．外企办事处,羽绒服,27
杭州欧卡兰时装有限公司,浙江,浙江杭州,100 - 499人,私营．民营企业,"女装,羽绒服",27
湖州巴布豆童装,浙江,浙江湖州,50 - 99人,私营．民营企业,"童装, 羽绒服",27
杭州格发服饰有限公司,浙江,浙江杭州,1 - 49人,私营．民营企业,女装,27
桐乡汉诺针织制衣有限公司,浙江,浙江嘉兴,100 - 499人,私营．民营企业,毛衫针织,27
德清辛迪服饰有限公司,浙江,浙江湖州,100 - 499人,外商独资．外企办事处,"女装, 童装, 丝绸",27
首威贸易（深圳）有限公司,广东,广东深圳,1000人以上,外商独资．外企办事处,"男装,女装,内衣,牛仔,其他",28
